reltime,datetime,iSensor,confidence,heart_rate
18.412,2024/06/13 11:30:28.9319,3,1.0,70.0
18.453,2024/06/13 11:30:28.9729,5,1.0,66.0
18.904,2024/06/13 11:30:29.4239,3,1.0,69.0
18.945,2024/06/13 11:30:29.4649,5,1.0,66.0
19.19,2024/06/13 11:30:29.7099,5,1.0,66.0
19.397,2024/06/13 11:30:29.9169,3,1.0,69.0
19.438,2024/06/13 11:30:29.9579,5,1.0,69.0
19.683,2024/06/13 11:30:30.2029,5,1.0,69.0
19.89,2024/06/13 11:30:30.4099,3,1.0,69.0
20.176,2024/06/13 11:30:30.6959,5,1.0,69.0
20.382,2024/06/13 11:30:30.9019,3,1.0,69.0
20.628,2024/06/13 11:30:31.1479,3,1.0,69.0
20.874,2024/06/13 11:30:31.3939,3,1.0,68.0
21.121,2024/06/13 11:30:31.6409,3,1.0,68.0
21.162,2024/06/13 11:30:31.6819,5,1.0,70.0
21.613,2024/06/13 11:30:32.1329,3,1.0,67.0
21.653,2024/06/13 11:30:32.1729,5,1.0,71.0
22.106,2024/06/13 11:30:32.6259,3,1.0,67.0
22.393,2024/06/13 11:30:32.9129,5,1.0,73.0
22.598,2024/06/13 11:30:33.1179,3,1.0,67.0
22.639,2024/06/13 11:30:33.1589,5,1.0,73.0
22.885,2024/06/13 11:30:33.4049,5,1.0,73.0
23.378,2024/06/13 11:30:33.8979,5,1.0,73.0
23.583,2024/06/13 11:30:34.1029,3,1.0,66.0
23.83,2024/06/13 11:30:34.3499,3,1.0,66.0
24.076,2024/06/13 11:30:34.5959,3,1.0,66.0
24.322,2024/06/13 11:30:34.8419,3,1.0,66.0
24.362,2024/06/13 11:30:34.8819,5,1.0,73.0
24.815,2024/06/13 11:30:35.3349,3,1.0,66.0
24.855,2024/06/13 11:30:35.3749,5,1.0,73.0
25.307,2024/06/13 11:30:35.8269,3,1.0,66.0
25.348,2024/06/13 11:30:35.8679,5,1.0,73.0
25.594,2024/06/13 11:30:36.1139,5,1.0,73.0
25.84,2024/06/13 11:30:36.3599,5,1.0,73.0
26.087,2024/06/13 11:30:36.6069,5,1.0,73.0
26.579,2024/06/13 11:30:37.0989,5,1.0,73.0
26.785,2024/06/13 11:30:37.3049,3,1.0,66.0
27.072,2024/06/13 11:30:37.5919,5,1.0,73.0
27.278,2024/06/13 11:30:37.7979,3,1.0,66.0
27.524,2024/06/13 11:30:38.0439,3,1.0,66.0
27.564,2024/06/13 11:30:38.0839,5,1.0,66.0
28.017,2024/06/13 11:30:38.5369,3,1.0,66.0
28.057,2024/06/13 11:30:38.5769,5,1.0,66.0
28.508,2024/06/13 11:30:39.0279,3,1.0,66.0
28.549,2024/06/13 11:30:39.0689,5,1.0,63.0
28.796,2024/06/13 11:30:39.3159,5,1.0,63.0
29.001,2024/06/13 11:30:39.5209,3,1.0,66.0
29.042,2024/06/13 11:30:39.5619,5,1.0,63.0
29.289,2024/06/13 11:30:39.8089,5,1.0,63.0
29.494,2024/06/13 11:30:40.0139,3,1.0,66.0
29.781,2024/06/13 11:30:40.3009,5,1.0,63.0
29.987,2024/06/13 11:30:40.5069,3,1.0,65.0
30.233,2024/06/13 11:30:40.7529,3,1.0,65.0
30.274,2024/06/13 11:30:40.7939,5,1.0,63.0
30.479,2024/06/13 11:30:40.9989,3,1.0,65.0
30.726,2024/06/13 11:30:41.2459,3,1.0,65.0
30.766,2024/06/13 11:30:41.2859,5,1.0,63.0
31.218,2024/06/13 11:30:41.7379,3,1.0,65.0
