reltime,datetime,iSensor,ibi
136.665,2024/06/13 11:32:27.1849,5,999
136.911,2024/06/13 11:32:27.4309,5,1000
137.361,2024/06/13 11:32:27.8809,3,1073
137.65,2024/06/13 11:32:28.1699,5,1000
137.896,2024/06/13 11:32:28.4159,5,1000
138.142,2024/06/13 11:32:28.6619,5,1000
138.346,2024/06/13 11:32:28.8659,3,1059
138.388,2024/06/13 11:32:28.9079,5,983
138.634,2024/06/13 11:32:29.1539,5,983
138.881,2024/06/13 11:32:29.4009,5,983
139.127,2024/06/13 11:32:29.6469,5,983
139.331,2024/06/13 11:32:29.8509,3,1093
139.374,2024/06/13 11:32:29.8939,5,952
139.619,2024/06/13 11:32:30.1389,5,952
139.866,2024/06/13 11:32:30.3859,5,952
140.112,2024/06/13 11:32:30.6319,5,952
140.317,2024/06/13 11:32:30.8369,3,1034
141.301,2024/06/13 11:32:31.8209,3,1005
141.343,2024/06/13 11:32:31.8629,5,952
141.59,2024/06/13 11:32:32.1099,5,952
141.836,2024/06/13 11:32:32.3559,5,952
142.082,2024/06/13 11:32:32.6019,5,952
142.287,2024/06/13 11:32:32.8069,3,994
142.329,2024/06/13 11:32:32.8489,5,952
142.575,2024/06/13 11:32:33.0949,5,952
142.821,2024/06/13 11:32:33.3409,5,952
143.025,2024/06/13 11:32:33.5449,3,871
143.067,2024/06/13 11:32:33.5869,5,952
143.807,2024/06/13 11:32:34.3269,5,952
144.01,2024/06/13 11:32:34.5299,3,890
144.053,2024/06/13 11:32:34.5729,5,952
144.299,2024/06/13 11:32:34.8189,5,952
144.545,2024/06/13 11:32:35.0649,5,952
144.792,2024/06/13 11:32:35.3119,5,952
144.995,2024/06/13 11:32:35.5149,3,927
145.038,2024/06/13 11:32:35.5579,5,952
145.284,2024/06/13 11:32:35.8039,5,952
145.531,2024/06/13 11:32:36.0509,5,923
145.776,2024/06/13 11:32:36.2959,5,923
145.981,2024/06/13 11:32:36.5009,3,919
146.023,2024/06/13 11:32:36.5429,5,923
146.761,2024/06/13 11:32:37.2809,5,923
146.965,2024/06/13 11:32:37.4849,3,894
147.008,2024/06/13 11:32:37.5279,5,923
147.254,2024/06/13 11:32:37.7739,5,923
147.5,2024/06/13 11:32:38.0199,5,923
147.951,2024/06/13 11:32:38.4709,3,993
148.239,2024/06/13 11:32:38.7589,5,923
148.485,2024/06/13 11:32:39.0049,5,923
148.732,2024/06/13 11:32:39.2519,5,923
148.936,2024/06/13 11:32:39.4559,3,1006
148.978,2024/06/13 11:32:39.4979,5,923
149.225,2024/06/13 11:32:39.7449,5,923
149.471,2024/06/13 11:32:39.9909,5,923
149.717,2024/06/13 11:32:40.2369,5,923
149.921,2024/06/13 11:32:40.4409,3,1023
149.963,2024/06/13 11:32:40.4829,5,923
150.209,2024/06/13 11:32:40.7289,5,923
150.456,2024/06/13 11:32:40.9759,5,923
150.906,2024/06/13 11:32:41.4259,3,1081
151.194,2024/06/13 11:32:41.7139,5,923
151.441,2024/06/13 11:32:41.9609,5,938
151.687,2024/06/13 11:32:42.2069,5,938
151.891,2024/06/13 11:32:42.4109,3,1018
151.934,2024/06/13 11:32:42.4539,5,938
152.18,2024/06/13 11:32:42.6999,5,938
152.426,2024/06/13 11:32:42.9459,5,938
152.673,2024/06/13 11:32:43.1929,5,938
152.876,2024/06/13 11:32:43.3959,3,928
152.918,2024/06/13 11:32:43.4379,5,938
153.165,2024/06/13 11:32:43.6849,5,938
153.862,2024/06/13 11:32:44.3819,3,995
153.903,2024/06/13 11:32:44.4229,5,938
154.15,2024/06/13 11:32:44.6699,5,938
154.397,2024/06/13 11:32:44.9169,5,938
154.643,2024/06/13 11:32:45.1629,5,938
154.846,2024/06/13 11:32:45.3659,3,953
154.889,2024/06/13 11:32:45.4089,5,938
155.135,2024/06/13 11:32:45.6549,5,938
155.381,2024/06/13 11:32:45.9009,5,938
155.628,2024/06/13 11:32:46.1479,5,938
155.832,2024/06/13 11:32:46.3519,3,876
155.873,2024/06/13 11:32:46.3929,5,938
156.121,2024/06/13 11:32:46.6409,5,938
156.366,2024/06/13 11:32:46.8859,5,938
156.57,2024/06/13 11:32:47.0899,3,967
156.612,2024/06/13 11:32:47.1319,5,938
157.555,2024/06/13 11:32:48.0749,3,997
157.598,2024/06/13 11:32:48.1179,5,1000
157.844,2024/06/13 11:32:48.3639,5,1000
158.091,2024/06/13 11:32:48.6109,5,1000
158.336,2024/06/13 11:32:48.8559,5,1000
158.583,2024/06/13 11:32:49.1029,5,1000
158.786,2024/06/13 11:32:49.3059,3,917
158.829,2024/06/13 11:32:49.3489,5,1000
159.076,2024/06/13 11:32:49.5959,5,1000
159.321,2024/06/13 11:32:49.8409,5,1000
159.526,2024/06/13 11:32:50.0459,3,985
159.569,2024/06/13 11:32:50.0889,5,1000
159.814,2024/06/13 11:32:50.3339,5,1000
160.061,2024/06/13 11:32:50.5809,5,1000
160.306,2024/06/13 11:32:50.8259,5,1000
160.553,2024/06/13 11:32:51.0729,5,983
160.757,2024/06/13 11:32:51.2769,3,1044
160.799,2024/06/13 11:32:51.3189,5,983
161.046,2024/06/13 11:32:51.5659,5,983
161.292,2024/06/13 11:32:51.8119,5,983
161.538,2024/06/13 11:32:52.0579,5,983
161.742,2024/06/13 11:32:52.2619,3,966
161.784,2024/06/13 11:32:52.3039,5,983
162.031,2024/06/13 11:32:52.5509,5,983
162.277,2024/06/13 11:32:52.7969,5,983
162.481,2024/06/13 11:32:53.0009,3,1022
163.466,2024/06/13 11:32:53.9859,3,980
163.509,2024/06/13 11:32:54.0289,5,983
163.755,2024/06/13 11:32:54.2749,5,983
164.001,2024/06/13 11:32:54.5209,5,983
164.248,2024/06/13 11:32:54.7679,5,983
164.451,2024/06/13 11:32:54.9709,3,904
164.494,2024/06/13 11:32:55.0139,5,983
164.74,2024/06/13 11:32:55.2599,5,983
164.986,2024/06/13 11:32:55.5059,5,983
165.436,2024/06/13 11:32:55.9559,3,926
165.725,2024/06/13 11:32:56.2449,5,983
165.971,2024/06/13 11:32:56.4909,5,983
166.175,2024/06/13 11:32:56.6949,3,976
166.218,2024/06/13 11:32:56.7379,5,983
166.464,2024/06/13 11:32:56.9839,5,967
167.16,2024/06/13 11:32:57.6799,3,893
167.203,2024/06/13 11:32:57.7229,5,967
167.942,2024/06/13 11:32:58.4619,5,967
168.145,2024/06/13 11:32:58.6649,3,931
168.188,2024/06/13 11:32:58.7079,5,967
168.433,2024/06/13 11:32:58.9529,5,983
168.68,2024/06/13 11:32:59.1999,5,983
168.927,2024/06/13 11:32:59.4469,5,983
169.13,2024/06/13 11:32:59.6499,3,952
169.173,2024/06/13 11:32:59.6929,5,983
169.912,2024/06/13 11:33:00.4319,5,983
170.116,2024/06/13 11:33:00.6359,3,912
170.158,2024/06/13 11:33:00.6779,5,983
170.404,2024/06/13 11:33:00.9239,5,1000
170.651,2024/06/13 11:33:01.1709,5,1000
170.896,2024/06/13 11:33:01.4159,5,1000
171.1,2024/06/13 11:33:01.6199,3,972
171.143,2024/06/13 11:33:01.6629,5,1000
171.39,2024/06/13 11:33:01.9099,5,983
171.636,2024/06/13 11:33:02.1559,5,983
171.882,2024/06/13 11:33:02.4019,5,983
172.085,2024/06/13 11:33:02.6049,3,988
172.128,2024/06/13 11:33:02.6479,5,983
172.866,2024/06/13 11:33:03.3859,5,983
173.07,2024/06/13 11:33:03.5899,3,921
173.113,2024/06/13 11:33:03.6329,5,983
173.359,2024/06/13 11:33:03.8789,5,983
173.606,2024/06/13 11:33:04.1259,5,983
173.852,2024/06/13 11:33:04.3719,5,983
174.056,2024/06/13 11:33:04.5759,3,987
174.099,2024/06/13 11:33:04.6189,5,983
174.344,2024/06/13 11:33:04.8639,5,983
174.591,2024/06/13 11:33:05.1109,5,967
174.794,2024/06/13 11:33:05.3139,3,983
174.837,2024/06/13 11:33:05.3569,5,967
175.084,2024/06/13 11:33:05.6039,5,967
175.779,2024/06/13 11:33:06.2989,3,896
175.822,2024/06/13 11:33:06.3419,5,967
176.518,2024/06/13 11:33:07.0379,3,942
176.808,2024/06/13 11:33:07.3279,5,967
177.054,2024/06/13 11:33:07.5739,5,967
177.3,2024/06/13 11:33:07.8199,5,967
177.503,2024/06/13 11:33:08.0229,3,903
177.546,2024/06/13 11:33:08.0659,5,967
177.792,2024/06/13 11:33:08.3119,5,967
178.038,2024/06/13 11:33:08.5579,5,967
178.285,2024/06/13 11:33:08.8049,5,967
178.488,2024/06/13 11:33:09.0079,3,884
178.531,2024/06/13 11:33:09.0509,5,967
178.778,2024/06/13 11:33:09.2979,5,967
179.024,2024/06/13 11:33:09.5439,5,967
179.27,2024/06/13 11:33:09.7899,5,967
179.474,2024/06/13 11:33:09.9939,3,952
179.516,2024/06/13 11:33:10.0359,5,967
179.763,2024/06/13 11:33:10.2829,5,967
180.009,2024/06/13 11:33:10.5289,5,967
180.255,2024/06/13 11:33:10.7749,5,967
180.458,2024/06/13 11:33:10.9779,3,992
180.502,2024/06/13 11:33:11.0219,5,967
180.748,2024/06/13 11:33:11.2679,5,967
180.995,2024/06/13 11:33:11.5149,5,967
181.241,2024/06/13 11:33:11.7609,5,967
181.443,2024/06/13 11:33:11.9629,3,924
181.486,2024/06/13 11:33:12.0059,5,967
182.226,2024/06/13 11:33:12.7459,5,967
182.429,2024/06/13 11:33:12.9489,3,968
182.472,2024/06/13 11:33:12.9919,5,967
182.718,2024/06/13 11:33:13.2379,5,967
182.964,2024/06/13 11:33:13.4839,5,967
183.21,2024/06/13 11:33:13.7299,5,967
183.414,2024/06/13 11:33:13.9339,3,964
183.458,2024/06/13 11:33:13.9779,5,967
183.703,2024/06/13 11:33:14.2229,5,967
183.949,2024/06/13 11:33:14.4689,5,967
184.195,2024/06/13 11:33:14.7149,5,967
184.398,2024/06/13 11:33:14.9179,3,900
184.442,2024/06/13 11:33:14.9619,5,952
184.688,2024/06/13 11:33:15.2079,5,952
184.935,2024/06/13 11:33:15.4549,5,952
185.138,2024/06/13 11:33:15.6579,3,966
185.181,2024/06/13 11:33:15.7009,5,952
185.921,2024/06/13 11:33:16.4409,5,952
186.123,2024/06/13 11:33:16.6429,3,1013
186.166,2024/06/13 11:33:16.6859,5,952
186.412,2024/06/13 11:33:16.9319,5,952
186.658,2024/06/13 11:33:17.1779,5,952
186.904,2024/06/13 11:33:17.4239,5,952
187.108,2024/06/13 11:33:17.6279,3,939
187.151,2024/06/13 11:33:17.6709,5,952
187.397,2024/06/13 11:33:17.9169,5,952
187.643,2024/06/13 11:33:18.1629,5,952
187.89,2024/06/13 11:33:18.4099,5,952
188.093,2024/06/13 11:33:18.6129,3,948
188.136,2024/06/13 11:33:18.6559,5,952
188.382,2024/06/13 11:33:18.9019,5,952
188.628,2024/06/13 11:33:19.1479,5,952
188.832,2024/06/13 11:33:19.3519,3,930
188.874,2024/06/13 11:33:19.3939,5,952
189.121,2024/06/13 11:33:19.6409,5,952
189.367,2024/06/13 11:33:19.8869,5,952
189.614,2024/06/13 11:33:20.1339,5,952
189.817,2024/06/13 11:33:20.3369,3,904
189.86,2024/06/13 11:33:20.3799,5,952
190.107,2024/06/13 11:33:20.6269,5,952
190.353,2024/06/13 11:33:20.8729,5,952
190.555,2024/06/13 11:33:21.0749,3,869
190.599,2024/06/13 11:33:21.1189,5,952
190.845,2024/06/13 11:33:21.3649,5,952
191.091,2024/06/13 11:33:21.6109,5,952
191.541,2024/06/13 11:33:22.0609,3,827
191.83,2024/06/13 11:33:22.3499,5,952
192.279,2024/06/13 11:33:22.7989,3,931
192.569,2024/06/13 11:33:23.0889,5,952
192.815,2024/06/13 11:33:23.3349,5,952
193.018,2024/06/13 11:33:23.5379,3,890
193.062,2024/06/13 11:33:23.5819,5,952
193.307,2024/06/13 11:33:23.8269,5,952
193.554,2024/06/13 11:33:24.0739,5,952
193.801,2024/06/13 11:33:24.3209,5,952
194.004,2024/06/13 11:33:24.5239,3,794
194.046,2024/06/13 11:33:24.5659,5,952
194.293,2024/06/13 11:33:24.8129,5,952
194.539,2024/06/13 11:33:25.0589,5,952
194.786,2024/06/13 11:33:25.3059,5,952
195.235,2024/06/13 11:33:25.7549,3,780
195.524,2024/06/13 11:33:26.0439,5,952
195.771,2024/06/13 11:33:26.2909,5,952
195.974,2024/06/13 11:33:26.4939,3,927
196.017,2024/06/13 11:33:26.5369,5,952
196.263,2024/06/13 11:33:26.7829,5,952
196.509,2024/06/13 11:33:27.0289,5,952
196.712,2024/06/13 11:33:27.2319,3,959
196.756,2024/06/13 11:33:27.2759,5,952
197.494,2024/06/13 11:33:28.0139,5,952
197.697,2024/06/13 11:33:28.2169,3,879
197.74,2024/06/13 11:33:28.2599,5,952
197.987,2024/06/13 11:33:28.5069,5,952
198.233,2024/06/13 11:33:28.7529,5,952
198.479,2024/06/13 11:33:28.9989,5,952
198.683,2024/06/13 11:33:29.2029,3,948
198.725,2024/06/13 11:33:29.2449,5,952
198.972,2024/06/13 11:33:29.4919,5,952
199.219,2024/06/13 11:33:29.7389,5,952
199.421,2024/06/13 11:33:29.9409,3,960
199.464,2024/06/13 11:33:29.9839,5,952
199.71,2024/06/13 11:33:30.2299,5,952
199.957,2024/06/13 11:33:30.4769,5,952
200.203,2024/06/13 11:33:30.7229,5,952
200.406,2024/06/13 11:33:30.9259,3,859
200.45,2024/06/13 11:33:30.9699,5,952
201.188,2024/06/13 11:33:31.7079,5,952
201.392,2024/06/13 11:33:31.9119,3,899
201.927,2024/06/13 11:33:32.4469,5,952
202.131,2024/06/13 11:33:32.6509,3,914
202.174,2024/06/13 11:33:32.6939,5,952
202.42,2024/06/13 11:33:32.9399,5,907
202.666,2024/06/13 11:33:33.1859,5,908
202.912,2024/06/13 11:33:33.4319,5,908
203.115,2024/06/13 11:33:33.6349,3,844
203.158,2024/06/13 11:33:33.6779,5,908
203.405,2024/06/13 11:33:33.9249,5,908
203.652,2024/06/13 11:33:34.1719,5,908
203.854,2024/06/13 11:33:34.3739,3,897
203.898,2024/06/13 11:33:34.4179,5,908
204.143,2024/06/13 11:33:34.6629,5,908
204.84,2024/06/13 11:33:35.3599,3,898
204.882,2024/06/13 11:33:35.4019,5,908
205.129,2024/06/13 11:33:35.6489,5,908
205.376,2024/06/13 11:33:35.8959,5,908
205.622,2024/06/13 11:33:36.1419,5,908
205.825,2024/06/13 11:33:36.3449,3,835
205.868,2024/06/13 11:33:36.3879,5,908
206.114,2024/06/13 11:33:36.6339,5,908
206.36,2024/06/13 11:33:36.8799,5,908
206.563,2024/06/13 11:33:37.0829,3,910
206.606,2024/06/13 11:33:37.1259,5,908
206.853,2024/06/13 11:33:37.3729,5,908
207.1,2024/06/13 11:33:37.6199,5,908
207.548,2024/06/13 11:33:38.0679,3,967
207.838,2024/06/13 11:33:38.3579,5,923
208.084,2024/06/13 11:33:38.6039,5,923
208.33,2024/06/13 11:33:38.8499,5,923
208.534,2024/06/13 11:33:39.0539,3,890
208.577,2024/06/13 11:33:39.0969,5,923
208.823,2024/06/13 11:33:39.3429,5,923
209.069,2024/06/13 11:33:39.5889,5,923
209.315,2024/06/13 11:33:39.8349,5,923
209.519,2024/06/13 11:33:40.0389,3,878
209.561,2024/06/13 11:33:40.0809,5,923
209.809,2024/06/13 11:33:40.3289,5,923
210.054,2024/06/13 11:33:40.5739,5,923
210.258,2024/06/13 11:33:40.7779,3,946
210.301,2024/06/13 11:33:40.8209,5,923
210.547,2024/06/13 11:33:41.0669,5,923
210.794,2024/06/13 11:33:41.3139,5,923
211.04,2024/06/13 11:33:41.5599,5,923
211.243,2024/06/13 11:33:41.7629,3,913
211.286,2024/06/13 11:33:41.8059,5,923
211.532,2024/06/13 11:33:42.0519,5,923
211.779,2024/06/13 11:33:42.2989,5,923
212.025,2024/06/13 11:33:42.5449,5,923
212.228,2024/06/13 11:33:42.7479,3,877
212.271,2024/06/13 11:33:42.7909,5,923
212.517,2024/06/13 11:33:43.0369,5,923
212.764,2024/06/13 11:33:43.2839,5,923
213.009,2024/06/13 11:33:43.5289,5,923
213.213,2024/06/13 11:33:43.7329,3,928
213.256,2024/06/13 11:33:43.7759,5,923
213.502,2024/06/13 11:33:44.0219,5,923
213.952,2024/06/13 11:33:44.4719,3,960
214.241,2024/06/13 11:33:44.7609,5,923
214.487,2024/06/13 11:33:45.0069,5,923
214.734,2024/06/13 11:33:45.2539,5,923
214.936,2024/06/13 11:33:45.4559,3,905
214.98,2024/06/13 11:33:45.4999,5,923
215.227,2024/06/13 11:33:45.7469,5,923
215.473,2024/06/13 11:33:45.9929,5,923
215.718,2024/06/13 11:33:46.2379,5,923
215.922,2024/06/13 11:33:46.4419,3,952
215.965,2024/06/13 11:33:46.4849,5,923
216.211,2024/06/13 11:33:46.7309,5,923
217.153,2024/06/13 11:33:47.6729,3,967
217.196,2024/06/13 11:33:47.7159,5,923
217.443,2024/06/13 11:33:47.9629,5,923
217.646,2024/06/13 11:33:48.1659,3,895
217.689,2024/06/13 11:33:48.2089,5,923
217.936,2024/06/13 11:33:48.4559,5,923
218.181,2024/06/13 11:33:48.7009,5,923
218.428,2024/06/13 11:33:48.9479,5,923
218.631,2024/06/13 11:33:49.1509,3,911
218.674,2024/06/13 11:33:49.1939,5,923
218.92,2024/06/13 11:33:49.4399,5,923
219.167,2024/06/13 11:33:49.6869,5,923
219.412,2024/06/13 11:33:49.9319,5,922
219.616,2024/06/13 11:33:50.1359,3,927
219.66,2024/06/13 11:33:50.1799,5,923
219.905,2024/06/13 11:33:50.4249,5,923
220.152,2024/06/13 11:33:50.6719,5,923
220.398,2024/06/13 11:33:50.9179,5,923
220.6,2024/06/13 11:33:51.1199,3,870
220.645,2024/06/13 11:33:51.1649,5,938
220.89,2024/06/13 11:33:51.4099,5,938
221.137,2024/06/13 11:33:51.6569,5,938
221.339,2024/06/13 11:33:51.8589,3,930
221.383,2024/06/13 11:33:51.9029,5,938
221.63,2024/06/13 11:33:52.1499,5,938
221.876,2024/06/13 11:33:52.3959,5,938
222.122,2024/06/13 11:33:52.6419,5,938
222.325,2024/06/13 11:33:52.8449,3,969
222.368,2024/06/13 11:33:52.8879,5,938
222.614,2024/06/13 11:33:53.1339,5,938
222.861,2024/06/13 11:33:53.3809,5,938
223.107,2024/06/13 11:33:53.6269,5,938
223.31,2024/06/13 11:33:53.8299,3,924
223.353,2024/06/13 11:33:53.8729,5,938
223.599,2024/06/13 11:33:54.1189,5,938
223.846,2024/06/13 11:33:54.3659,5,938
224.093,2024/06/13 11:33:54.6129,5,938
224.295,2024/06/13 11:33:54.8149,3,978
224.831,2024/06/13 11:33:55.3509,5,938
225.078,2024/06/13 11:33:55.5979,5,938
225.28,2024/06/13 11:33:55.7999,3,972
225.324,2024/06/13 11:33:55.8439,5,938
225.57,2024/06/13 11:33:56.0899,5,938
225.816,2024/06/13 11:33:56.3359,5,938
226.062,2024/06/13 11:33:56.5819,5,938
226.265,2024/06/13 11:33:56.7849,3,894
226.309,2024/06/13 11:33:56.8289,5,938
226.555,2024/06/13 11:33:57.0749,5,938
226.801,2024/06/13 11:33:57.3209,5,938
227.047,2024/06/13 11:33:57.5669,5,938
227.25,2024/06/13 11:33:57.7699,3,931
227.294,2024/06/13 11:33:57.8139,5,938
227.54,2024/06/13 11:33:58.0599,5,938
227.786,2024/06/13 11:33:58.3059,5,938
227.989,2024/06/13 11:33:58.5089,3,945
228.033,2024/06/13 11:33:58.5529,5,938
228.279,2024/06/13 11:33:58.7989,5,938
228.525,2024/06/13 11:33:59.0449,5,938
228.772,2024/06/13 11:33:59.2919,5,938
228.974,2024/06/13 11:33:59.4939,3,860
229.017,2024/06/13 11:33:59.5369,5,938
229.264,2024/06/13 11:33:59.7839,5,938
229.51,2024/06/13 11:34:00.0299,5,938
229.713,2024/06/13 11:34:00.2329,3,890
229.757,2024/06/13 11:34:00.2769,5,938
230.003,2024/06/13 11:34:00.5229,5,938
230.249,2024/06/13 11:34:00.7689,5,938
230.495,2024/06/13 11:34:01.0149,5,938
230.698,2024/06/13 11:34:01.2179,3,912
230.741,2024/06/13 11:34:01.2609,5,938
230.988,2024/06/13 11:34:01.5079,5,938
231.234,2024/06/13 11:34:01.7539,5,938
231.481,2024/06/13 11:34:02.0009,5,952
231.684,2024/06/13 11:34:02.2039,3,879
231.726,2024/06/13 11:34:02.2459,5,952
231.973,2024/06/13 11:34:02.4929,5,952
232.219,2024/06/13 11:34:02.7389,5,952
232.466,2024/06/13 11:34:02.9859,5,952
232.668,2024/06/13 11:34:03.1879,3,968
232.712,2024/06/13 11:34:03.2319,5,952
232.958,2024/06/13 11:34:03.4779,5,952
233.205,2024/06/13 11:34:03.7249,5,952
233.45,2024/06/13 11:34:03.9699,5,952
233.653,2024/06/13 11:34:04.1729,3,1008
233.697,2024/06/13 11:34:04.2169,5,952
234.436,2024/06/13 11:34:04.9559,5,952
234.639,2024/06/13 11:34:05.1589,3,919
234.682,2024/06/13 11:34:05.2019,5,952
234.929,2024/06/13 11:34:05.4489,5,952
235.175,2024/06/13 11:34:05.6949,5,952
235.421,2024/06/13 11:34:05.9409,5,952
235.624,2024/06/13 11:34:06.1439,3,987
235.668,2024/06/13 11:34:06.1879,5,952
236.406,2024/06/13 11:34:06.9259,5,952
236.608,2024/06/13 11:34:07.1279,3,1011
236.652,2024/06/13 11:34:07.1719,5,938
236.899,2024/06/13 11:34:07.4189,5,938
237.145,2024/06/13 11:34:07.6649,5,938
237.392,2024/06/13 11:34:07.9119,5,938
237.594,2024/06/13 11:34:08.1139,3,909
237.638,2024/06/13 11:34:08.1579,5,938
237.883,2024/06/13 11:34:08.4029,5,938
238.13,2024/06/13 11:34:08.6499,5,938
238.377,2024/06/13 11:34:08.8969,5,938
238.578,2024/06/13 11:34:09.0979,3,967
238.622,2024/06/13 11:34:09.1419,5,938
238.869,2024/06/13 11:34:09.3889,5,938
239.115,2024/06/13 11:34:09.6349,5,938
239.362,2024/06/13 11:34:09.8819,5,938
239.564,2024/06/13 11:34:10.0839,3,1024
239.607,2024/06/13 11:34:10.1269,5,938
239.854,2024/06/13 11:34:10.3739,5,938
240.1,2024/06/13 11:34:10.6199,5,938
240.302,2024/06/13 11:34:10.8219,3,930
240.346,2024/06/13 11:34:10.8659,5,938
240.593,2024/06/13 11:34:11.1129,5,938
240.839,2024/06/13 11:34:11.3589,5,938
241.085,2024/06/13 11:34:11.6049,5,938
241.287,2024/06/13 11:34:11.8069,3,1006
242.273,2024/06/13 11:34:12.7929,3,994
242.563,2024/06/13 11:34:13.0829,5,967
242.809,2024/06/13 11:34:13.3289,5,967
243.055,2024/06/13 11:34:13.5749,5,967
243.258,2024/06/13 11:34:13.7779,3,908
243.301,2024/06/13 11:34:13.8209,5,967
243.548,2024/06/13 11:34:14.0679,5,967
243.794,2024/06/13 11:34:14.3139,5,967
243.997,2024/06/13 11:34:14.5169,3,946
244.041,2024/06/13 11:34:14.5609,5,967
244.287,2024/06/13 11:34:14.8069,5,967
244.533,2024/06/13 11:34:15.0529,5,967
244.779,2024/06/13 11:34:15.2989,5,967
244.982,2024/06/13 11:34:15.5019,3,879
245.026,2024/06/13 11:34:15.5459,5,967
245.272,2024/06/13 11:34:15.7919,5,967
245.518,2024/06/13 11:34:16.0379,5,967
245.764,2024/06/13 11:34:16.2839,5,967
245.967,2024/06/13 11:34:16.4869,3,846
246.011,2024/06/13 11:34:16.5309,5,967
246.257,2024/06/13 11:34:16.7769,5,967
246.503,2024/06/13 11:34:17.0229,5,967
246.706,2024/06/13 11:34:17.2259,3,924
246.749,2024/06/13 11:34:17.2689,5,967
246.995,2024/06/13 11:34:17.5149,5,967
247.242,2024/06/13 11:34:17.7619,5,967
247.488,2024/06/13 11:34:18.0079,5,967
247.691,2024/06/13 11:34:18.2109,3,922
247.735,2024/06/13 11:34:18.2549,5,967
247.981,2024/06/13 11:34:18.5009,5,967
248.227,2024/06/13 11:34:18.7469,5,967
248.473,2024/06/13 11:34:18.9929,5,967
248.675,2024/06/13 11:34:19.1949,3,895
248.719,2024/06/13 11:34:19.2389,5,967
248.966,2024/06/13 11:34:19.4859,5,967
249.212,2024/06/13 11:34:19.7319,5,967
249.459,2024/06/13 11:34:19.9789,5,952
249.661,2024/06/13 11:34:20.1809,3,961
249.705,2024/06/13 11:34:20.2249,5,952
249.951,2024/06/13 11:34:20.4709,5,952
250.198,2024/06/13 11:34:20.7179,5,952
250.646,2024/06/13 11:34:21.1659,3,943
250.937,2024/06/13 11:34:21.4569,5,938
251.182,2024/06/13 11:34:21.7019,5,938
251.385,2024/06/13 11:34:21.9049,3,904
251.429,2024/06/13 11:34:21.9489,5,938
251.675,2024/06/13 11:34:22.1949,5,938
251.922,2024/06/13 11:34:22.4419,5,938
252.168,2024/06/13 11:34:22.6879,5,938
252.37,2024/06/13 11:34:22.8899,3,974
252.413,2024/06/13 11:34:22.9329,5,938
252.66,2024/06/13 11:34:23.1799,5,938
252.906,2024/06/13 11:34:23.4259,5,937
253.153,2024/06/13 11:34:23.6729,5,938
253.355,2024/06/13 11:34:23.8749,3,948
253.398,2024/06/13 11:34:23.9179,5,938
253.646,2024/06/13 11:34:24.1659,5,923
253.891,2024/06/13 11:34:24.4109,5,923
254.138,2024/06/13 11:34:24.6579,5,923
254.34,2024/06/13 11:34:24.8599,3,890
254.384,2024/06/13 11:34:24.9039,5,923
254.63,2024/06/13 11:34:25.1499,5,923
254.877,2024/06/13 11:34:25.3969,5,923
255.079,2024/06/13 11:34:25.5989,3,948
255.122,2024/06/13 11:34:25.6419,5,923
255.369,2024/06/13 11:34:25.8889,5,923
255.616,2024/06/13 11:34:26.1359,5,923
255.861,2024/06/13 11:34:26.3809,5,923
256.064,2024/06/13 11:34:26.5839,3,931
256.108,2024/06/13 11:34:26.6279,5,923
256.355,2024/06/13 11:34:26.8749,5,923
256.6,2024/06/13 11:34:27.1199,5,923
256.847,2024/06/13 11:34:27.3669,5,923
257.05,2024/06/13 11:34:27.5699,3,857
257.093,2024/06/13 11:34:27.6129,5,923
257.339,2024/06/13 11:34:27.8589,5,923
257.585,2024/06/13 11:34:28.1049,5,923
257.832,2024/06/13 11:34:28.3519,5,923
258.034,2024/06/13 11:34:28.5539,3,913
258.571,2024/06/13 11:34:29.0909,5,938
258.773,2024/06/13 11:34:29.2929,3,913
258.817,2024/06/13 11:34:29.3369,5,938
259.063,2024/06/13 11:34:29.5829,5,938
259.309,2024/06/13 11:34:29.8289,5,938
259.556,2024/06/13 11:34:30.0759,5,938
259.758,2024/06/13 11:34:30.2779,3,860
259.802,2024/06/13 11:34:30.3219,5,938
260.049,2024/06/13 11:34:30.5689,5,938
260.295,2024/06/13 11:34:30.8149,5,938
260.497,2024/06/13 11:34:31.0169,3,942
260.541,2024/06/13 11:34:31.0609,5,938
260.788,2024/06/13 11:34:31.3079,5,938
261.236,2024/06/13 11:34:31.7559,3,932
262.018,2024/06/13 11:34:32.5379,5,938
262.22,2024/06/13 11:34:32.7399,3,874
262.265,2024/06/13 11:34:32.7849,5,938
262.511,2024/06/13 11:34:33.0309,5,938
262.757,2024/06/13 11:34:33.2769,5,938
262.96,2024/06/13 11:34:33.4799,3,797
263.004,2024/06/13 11:34:33.5239,5,938
263.25,2024/06/13 11:34:33.7699,5,938
263.496,2024/06/13 11:34:34.0159,5,938
263.698,2024/06/13 11:34:34.2179,3,788
263.742,2024/06/13 11:34:34.2619,5,938
263.989,2024/06/13 11:34:34.5089,5,938
264.235,2024/06/13 11:34:34.7549,5,938
264.482,2024/06/13 11:34:35.0019,5,938
264.684,2024/06/13 11:34:35.2039,3,843
264.727,2024/06/13 11:34:35.2469,5,938
264.974,2024/06/13 11:34:35.4939,5,938
265.22,2024/06/13 11:34:35.7399,5,938
265.422,2024/06/13 11:34:35.9419,3,791
266.407,2024/06/13 11:34:36.9269,3,861
